spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
3515,KHES SVAY|KS102,2023,13,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3516,KHES SVAY|KS104,2023,14,Good,1,1,76,24,A1,Phka Rumduol,New_Organic,1950
3517,KHES SVAY|KS105,2023,14,Good,1,1,82,18,A1,Phka Rumduol,Organic,1950
3518,KHES SVAY|KS107,2023,13,Good,1,1,82,18,A1,Phka Rumduol,Organic,1950
3519,KHES SVAY|KS109,2023,14,Good,1,2,80,20,A1,Phka Rumduol,Organic,1950
3520,KHES SVAY|KS111,2023,14,Good,1,2,82,18,A1,Phka Rumduol,New_Organic,1950
3521,KHES SVAY|KS111,2023,14,Good,0,2,0,0,A,White Rice,New_Organic,1550
3522,KHES SVAY|KS112,2023,14,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
3523,KHES SVAY|KS113,2023,14,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
3524,KHES SVAY|KS117,2023,13,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
3525,KHES SVAY|KS117,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3526,KHES SVAY|KS118,2023,14,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3527,KHES SVAY|KS119,2023,13,Good,1,1,70,30,A2,Phka Rumduol,New_Organic,1850
3528,KHES SVAY|KS120,2023,14,Good,1,1,70,30,A2,Phka Rumduol,New_Organic,1850
3529,KHES SVAY|KS121,2023,13,Good,1,1,88,12,A1,Phka Rumduol,New_Organic,1950
3530,KHES SVAY|KS124,2023,14,Good,1,1,90,10,A1,Phka Rumduol,Organic,1950
3531,KHES SVAY|KS124,2023,14,Good,0,4,0,0,A,White Rice,Organic,1550
3532,KHES SVAY|KS125,2023,13,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
3533,KHES SVAY|KS127,2023,14,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
3534,KHES SVAY|KS131,2023,13,Good,1,1,92,8,A1,Phka Rumduol,Organic,1950
3535,KHES SVAY|KS134,2023,13,Good,1,2,90,10,A1,Phka Rumduol,Organic,1950
3536,KHES SVAY|KS135,2023,14,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
3537,KHES SVAY|KS138,2023,13,Good,1,2,70,30,A2,Phka Rumduol,Organic,1850
3538,KHES SVAY|KS140,2023,15,Good,1,1,72,28,A2,Phka Rumduol,Organic,1850
3539,KHES SVAY|KS140,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3540,KHES SVAY|KS141,2023,13,Good,1,1,92,8,A1,Phka Rumduol,Organic,1950
3541,KHES SVAY|KS142,2023,13,Good,1,1,76,24,A1,Phka Rumduol,Organic,1950
3542,KHES SVAY|KS143,2023,13,Good,1,1,84,16,A1,Phka Rumduol,Organic,1950
3543,KHES SVAY|KS145,2023,13,Good,1,1,72,28,A2,Phka Rumduol,Organic,1850
3544,KHES SVAY|KS147,2023,13,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3545,KHES SVAY|KS147,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3546,KHES SVAY|KS148,2023,13,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3547,KHES SVAY|KS151,2023,13,Good,1,1,86,14,A1,Phka Rumduol,Organic,1950
3548,KHES SVAY|KS153,2023,13,Good,1,2,84,16,A1,Phka Rumduol,Organic,1950
3549,KHES SVAY|KS155,2023,13,Good,1,1,82,18,A1,Phka Rumduol,Organic,1950
3550,KHES SVAY|KS157,2023,13,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3551,KHES SVAY|KS157,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3552,KHES SVAY|KS161,2023,13,Good,1,1,90,10,A1,Phka Rumduol,Organic,1950
3553,KHES SVAY|KS163,2023,13,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
3554,KHES SVAY|KS164,2023,13,Good,1,1,80,20,A1,Phka Rumduol,Organic,1950
3555,KHES SVAY|KS170,2023,13,Good,1,1,78,22,A1,Phka Rumduol,New_Organic,1950
3556,KHES SVAY|KS170,2023,13,Good,0,1,0,0,A,White Rice,New_Organic,1550
3557,KHES SVAY|KS171,2023,14,Good,1,1,84,16,A1,Phka Rumduol,New_Organic,1950
3558,KHES SVAY|KS177,2023,13,Good,1,1,78,22,A1,Phka Rumduol,New_Organic,1950
3559,KHES SVAY|KS178,2023,14,Good,1,1,85,15,A1,Phka Rumduol,New_Organic,1950
3560,KHES SVAY|KS181,2023,13,Good,1,1,72,28,A2,Phka Rumduol,New_Organic,1850
3561,KHES SVAY|KS185,2023,13,Good,1,1,72,28,A2,Phka Rumduol,New_Organic,1850
3562,KHES SVAY|KS192,2023,14,Good,1,1,82,18,A1,Red Jasmine,New_Organic,2050
3563,PONG KRIEL|PK001,2023,13,Good,2,1,86,14,A1,Phka Rumduol,Organic,1950
3564,PONG KRIEL|PK002,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3565,PONG KRIEL|PK002,2023,13,Good,1,1,50,50,B2,Phka Rumduol,Organic,1750
3566,PONG KRIEL|PK003,2023,14,Good,1,0.2,76,24,A1,Phka Rumduol,Organic,1950
3567,PONG KRIEL|PK004,2023,13.5,Good,0,2,0,0,A,White Rice,Organic,1550
3568,PONG KRIEL|PK004,2023,14,Good,0,2,0,0,,White Rice,Organic,
3569,PONG KRIEL|PK004,2023,14,Good,2,4,82,18,A1,Red Jasmine,Organic,2050
3570,PONG KRIEL|PK004,2023,13,Good,1,1,82,18,A1,Red Jasmine,Organic,2050
3571,PONG KRIEL|PK006,2023,13,Good,1,1,76,24,A1,Phka Rumduol,Organic,1950
3572,PONG KRIEL|PK007,2023,14,Good,1,1,94,6,A1,Phka Rumduol,Organic,1950
3573,PONG KRIEL|PK008,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
3574,PONG KRIEL|PK008,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
3575,PONG KRIEL|PK008,2023,13,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
3576,PONG KRIEL|PK010,2023,14,Good,1,1,84,16,A1,Phka Rumduol,Organic,1950
3577,PONG KRIEL|PK010,2023,11.9,GOOD,2.3,1.9,81,19,A1,Phka Rumduol,Organic,1950
3578,PONG KRIEL|PK014,2023,14,Good,0.1,0.1,91,9,A1,Phka Rumduol,Organic,1950
3579,PONG KRIEL|PK016,2023,13,Good,1,1,92,8,A1,Phka Rumduol,Organic,1950
3580,PONG KRIEL|PK017,2023,13,Good,1,1,97,3,A1,Phka Rumduol,Organic,1950
3581,PONG KRIEL|PK020,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3582,PONG KRIEL|PK020,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3583,PONG KRIEL|PK020,2023,13,Good,1,1,88,12,A1,Phka Rumduol,Organic,1950
3584,PONG KRIEL|PK021,2023,13,Good,1,1,90,10,A1,Phka Rumduol,Organic,1950
3585,PONG KRIEL|PK021,2023,15,MEDIUM,3.2,1,76,24,A2,Phka Rumduol,Organic,1850
3586,PONG KRIEL|PK021,2023,16,MEDIUM,,1,,,A,White Rice,Organic,1500
3587,PONG KRIEL|PK023,2023,14,Good,0.03,0.1,92,8,A1,Phka Rumduol,Organic,1950
3588,PONG KRIEL|PK024,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3589,PONG KRIEL|PK024,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3590,PONG KRIEL|PK024,2023,13,Good,1,1,88,12,A1,Phka Rumduol,Organic,1950
3591,PONG KRIEL|PK025,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3592,PONG KRIEL|PK025,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
3593,PONG KRIEL|PK025,2023,13,Good,1,1,94,6,A1,Phka Rumduol,Organic,1950
3594,PONG KRIEL|PK027,2023,14,Good,1,1,94,6,A1,Phka Rumduol,Organic,1950
3595,PONG KRIEL|PK027,2023,11,GOOD,1.1,1,86,14,A1,Phka Rumduol,Organic,1950
3596,PONG KRIEL|PK029,2023,13,Good,1,1,83,17,A1,Phka Rumduol,Organic,1950
3597,PONG KRIEL|PK030,2023,13,Good,0,1,0,0,A,White Rice,Organic,1550
