survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
73,DANG PHLET|DP173,2019,,,,,,,,,
970,DANG PHLET|DP173,2020,,,,,,,,,
2973,DANG PHLET|DP173,2021,,,,,,,,,
3450,DANG PHLET|DP173,2022,,,,,,,920,0,0
5001,DANG PHLET|DP173,2023,,,,,,,920,0,0
7026,DANG PHLET|DP173,2024,23,Secondary,6,3,12,11,920,3,0
74,DANG PHLET|DP185,2019,,,,,,,,,
971,DANG PHLET|DP185,2020,,,,,,,,,
3825,DANG PHLET|DP185,2022,,,,,,,750,0,0
75,DANG PHLET|DP193,2019,,,,,,,,,
972,DANG PHLET|DP193,2020,,,,,,,,,
2794,DANG PHLET|DP193,2021,,,,,,,,,
3451,DANG PHLET|DP193,2022,,,,,,,672,0,0
5002,DANG PHLET|DP193,2023,,,,,,,672,0,0
7027,DANG PHLET|DP193,2024,35,Primary,6,4,6,6,672,7,0
9252,DANG PHLET|DP193,2025,52,Primary,6,4,5,5,672,1,0
9253,DANG PHLET|DP194,2025,28,Primary,4,2,9,7,800,0,0
76,DANG PHLET|DP199,2019,,,,,,,,,
973,DANG PHLET|DP199,2020,,,,,,,,,
2788,DANG PHLET|DP199,2021,,,,,,,,,
3452,DANG PHLET|DP199,2022,,,,,,,600,0,0
5003,DANG PHLET|DP199,2023,,,,,,,600,0,0
7028,DANG PHLET|DP199,2024,36,Primary,6,2,5,5,600,4,0
9254,DANG PHLET|DP199,2025,37,Primary,6,3,16,14,600,7,0
7029,DANG PHLET|DP201,2024,22,Primary,4,1,12,7,1760,3,0
9255,DANG PHLET|DP201,2025,31,Primary,4,1,12,11,1760,0,0
7030,DANG PHLET|DP203,2024,33,Primary,5,2,4,3.5,1350,0,0
9256,DANG PHLET|DP203,2025,32,Primary,5,2,6,6,1350,0,0
77,DANG PHLET|DP204,2019,,,,,,,,,
974,DANG PHLET|DP204,2020,,,,,,,,,
2717,DANG PHLET|DP204,2021,,,,,,,,,
3453,DANG PHLET|DP204,2022,,,,,,,1200,0,0
5004,DANG PHLET|DP204,2023,,,,,,,1200,0,0
7031,DANG PHLET|DP204,2024,33,Primary,5,2,10,9,1200,4,0
9257,DANG PHLET|DP204,2025,34,Primary,5,2,3,3,1200,3,0
9258,DANG PHLET|DP206,2025,33,Primary,5,2,19,17,1500,6,0
2791,DANG PHLET|DP207,2021,,,,,,,,,
3454,DANG PHLET|DP207,2022,,,,,,,1000,0,0
5005,DANG PHLET|DP207,2023,,,,,,,1000,0,0
7032,DANG PHLET|DP211,2024,22,Primary,4,3,10,8,240,0,0
